,Commune_Code_INSEE,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,total_tax_per_city,total_tax_per_city_lag1,mean,median,min,max,mean_distance_to_10_nearest,to_be_predicted,predicted,Prophet
360,34301,,,,,2023,1024254.8125,937280.0,828671.3333333334,778134.0,770600.0,937280.0,,False,True,
361,34301,,,,,2024,1043099.625,1024254.8125,877567.203125,857707.0,770600.0,1024254.8125,,False,True,
362,34301,,,,,2025,1080664.75,1043099.625,910673.6875,937280.0,770600.0,1043099.625,,False,True,
363,34301,,,,,2026,1164471.375,1080664.75,939005.53125,980767.40625,770600.0,1080664.75,,False,True,
1495,34301,,,,,2027,1258738.125,1164471.375,971214.9375,1024254.8125,770600.0,1164471.375,,False,True,
364,35238,514.0,2437244.0,11005.0,ificom-2020.xlsx,2020,5656570.0,,,,,,96.8027883317881,False,False,
365,35238,572.0,2462023.0,11004.0,ificom-2021.xlsx,2021,6294288.0,5656570.0,5656570.0,5656570.0,5656570.0,5656570.0,96.8027883317881,False,False,
366,35238,651.0,2483808.0,11233.0,ificom-2022.xlsx,2022,7312683.0,6294288.0,5975429.0,5975429.0,5656570.0,6294288.0,96.8027883317881,False,False,
367,35238,,,,,2023,9212935.502228886,7312683.0,6421180.333333333,6294288.0,5656570.0,7312683.0,,False,True,True
368,35238,,,,,2024,10481162.507412191,9212935.502228886,6154237.5,5975429.0,5353409.0,7312683.0,,False,True,True
369,35238,,,,,2025,10618901.62063337,10481162.507412191,5994071.8,5656570.0,5353409.0,7312683.0,,False,True,True
370,35238,,,,,2026,11804489.38807119,10618901.62063337,5887294.666666667,5504989.5,5353409.0,7312683.0,,False,True,True
1496,35238,,,,,2027,13031520.453677628,11804489.38807119,5811025.285714285,5353409.0,5353409.0,7312683.0,,False,True,True
371,35288,175.0,2206337.0,9449.0,ificom-2020.xlsx,2020,1653575.0,,,,,,138.5070419667098,False,False,
372,35288,197.0,2218192.0,9596.0,ificom-2021.xlsx,2021,1890412.0,1653575.0,1653575.0,1653575.0,1653575.0,1653575.0,138.5070419667098,False,False,
373,35288,238.0,2260465.0,9930.0,ificom-2022.xlsx,2022,2363340.0,1890412.0,1771993.5,1771993.5,1653575.0,1890412.0,138.5070419667098,False,False,
374,35288,,,,,2023,2159053.0,2363340.0,1969109.0,1890412.0,1653575.0,2363340.0,,False,True,
375,35288,,,,,2024,2168394.5,2159053.0,2016595.0,2024732.5,1653575.0,2363340.0,,False,True,
376,35288,,,,,2025,2213812.75,2168394.5,2046954.9,2159053.0,1653575.0,2363340.0,,False,True,
377,35288,,,,,2026,2280431.75,2213812.75,2074764.5416666667,2163723.75,1653575.0,2363340.0,,False,True,
1497,35288,,,,,2027,2273530.25,2280431.75,2104145.5714285714,2168394.5,1653575.0,2363340.0,,False,True,
378,37261,181.0,2106683.0,8074.999999999999,ificom-2020.xlsx,2020,1461574.9999999998,,,,,,118.09734155904682,False,False,
379,37261,203.0,2128313.0,8278.0,ificom-2021.xlsx,2021,1680434.0,1461574.9999999998,1461574.9999999998,1461574.9999999998,1461574.9999999998,1461574.9999999998,118.09734155904682,False,False,
380,37261,232.0,2096669.0,7992.0,ificom-2022.xlsx,2022,1854144.0,1680434.0,1571004.5,1571004.5,1461574.9999999998,1680434.0,118.09734155904682,False,False,
381,37261,,,,,2023,1809718.375,1854144.0,1665384.3333333333,1680434.0,1461574.9999999998,1854144.0,,False,True,
382,37261,,,,,2024,1818056.625,1809718.375,1701467.84375,1745076.1875,1461574.9999999998,1854144.0,,False,True,
383,37261,,,,,2025,1840548.5,1818056.625,1724785.6,1809718.375,1461574.9999999998,1854144.0,,False,True,
384,37261,,,,,2026,1832411.125,1840548.5,1744079.4166666667,1813887.5,1461574.9999999998,1854144.0,,False,True,
1498,37261,,,,,2027,1891616.0,1832411.125,1756698.232142857,1818056.625,1461574.9999999998,1854144.0,,False,True,
385,38185,172.0,2157148.0,8816.0,ificom-2020.xlsx,2020,1516352.0,,,,,,79.67183989334417,False,False,
386,38185,174.0,2224496.0,8388.0,ificom-2021.xlsx,2021,1459512.0,1516352.0,1516352.0,1516352.0,1516352.0,1516352.0,79.67183989334417,False,False,
387,38185,175.0,2275227.0,9034.0,ificom-2022.xlsx,2022,1580950.0,1459512.0,1487932.0,1487932.0,1459512.0,1516352.0,79.67183989334417,False,False,
388,38185,,,,,2023,1689727.875,1580950.0,1518938.0,1516352.0,1459512.0,1580950.0,,False,True,
389,38185,,,,,2024,1776050.25,1689727.875,1561635.46875,1548651.0,1459512.0,1689727.875,,False,True,
390,38185,,,,,2025,1757916.75,1776050.25,1604518.425,1580950.0,1459512.0,1776050.25,,False,True,
391,38185,,,,,2026,1748694.875,1757916.75,1630084.8125,1635338.9375,1459512.0,1776050.25,,False,True,
1499,38185,,,,,2027,1782750.75,1748694.875,1647029.107142857,1689727.875,1459512.0,1776050.25,,False,True,
392,42218,78.0,1888188.0,6107.0,ificom-2020.xlsx,2020,476346.0,,,,,,68.70339731239432,False,False,
393,42218,78.0,2041352.0,7594.0,ificom-2021.xlsx,2021,592332.0,476346.0,476346.0,476346.0,476346.0,476346.0,68.70339731239432,False,False,
394,42218,77.0,2037480.0,7431.0,ificom-2022.xlsx,2022,572187.0,592332.0,534339.0,534339.0,476346.0,592332.0,68.70339731239432,False,False,
395,42218,,,,,2023,663253.0625,572187.0,546955.0,572187.0,476346.0,592332.0,,False,True,
396,42218,,,,,2024,690480.8125,663253.0625,576029.515625,582259.5,476346.0,663253.0625,,False,True,
397,42218,,,,,2025,707006.5625,690480.8125,598919.775,592332.0,476346.0,690480.8125,,False,True,
398,42218,,,,,2026,725745.0625,707006.5625,616934.2395833334,627792.53125,476346.0,707006.5625,,False,True,
1500,42218,,,,,2027,751598.125,725745.0625,632478.6428571428,663253.0625,476346.0,725745.0625,,False,True,
399,44026,58.0,2291033.0,9854.0,ificom-2022.xlsx,2022,571532.0,,,,,,61.44272441146446,False,False,
400,44026,,,,,2023,666271.3125,571532.0,571532.0,571532.0,571532.0,571532.0,,False,True,
401,44026,,,,,2024,708463.5,666271.3125,618901.65625,618901.65625,571532.0,666271.3125,,False,True,
402,44026,,,,,2025,781827.4375,708463.5,648755.6041666666,666271.3125,571532.0,708463.5,,False,True,
403,44026,,,,,2026,836802.375,781827.4375,682023.5625,687367.40625,571532.0,781827.4375,,False,True,
1501,44026,,,,,2027,919373.5,836802.375,712979.325,708463.5,571532.0,836802.375,,False,True,
404,44109,897.0,2264963.0,9383.0,ificom-2020.xlsx,2020,8416551.0,,,,,,60.28858543600084,False,False,
405,44109,985.0,2263115.0,9294.0,ificom-2021.xlsx,2021,9154590.0,8416551.0,8416551.0,8416551.0,8416551.0,8416551.0,60.28858543600084,False,False,
406,44109,1099.0,2292473.0,9838.0,ificom-2022.xlsx,2022,10811962.0,9154590.0,8785570.5,8785570.5,8416551.0,9154590.0,60.28858543600084,False,False,
407,44109,,,,,2023,13350294.048582027,10811962.0,9461034.333333334,9154590.0,8416551.0,10811962.0,,False,True,True
408,44109,,,,,2024,14986308.000094334,13350294.048582027,8434128.0,8785570.5,5353409.0,10811962.0,,False,True,True
409,44109,,,,,2025,15767236.372039024,14986308.000094334,7817984.2,8416551.0,5353409.0,10811962.0,,False,True,True
410,44109,,,,,2026,17411966.025459506,15767236.372039024,7407221.666666667,6884980.0,5353409.0,10811962.0,,False,True,True
1502,44109,,,,,2027,19052512.16784048,17411966.025459506,7113819.857142857,5353409.0,5353409.0,10811962.0,,False,True,True
411,44114,57.0,1891902.0,6495.0,ificom-2020.xlsx,2020,370215.0,,,,,,60.2878018070965,False,False,
412,44114,62.0,2021138.0,7518.0,ificom-2021.xlsx,2021,466116.0,370215.0,370215.0,370215.0,370215.0,370215.0,60.2878018070965,False,False,
413,44114,73.0,2029909.0,7528.0,ificom-2022.xlsx,2022,549544.0,466116.0,418165.5,418165.5,370215.0,466116.0,60.2878018070965,False,False,
414,44114,,,,,2023,608818.6875,549544.0,461958.3333333333,466116.0,370215.0,549544.0,,False,True,
415,44114,,,,,2024,639918.75,608818.6875,498673.421875,507830.0,370215.0,608818.6875,,False,True,
416,44114,,,,,2025,663190.5,639918.75,526922.4875,549544.0,370215.0,639918.75,,False,True,
417,44114,,,,,2026,687732.125,663190.5,549633.8229166666,579181.34375,370215.0,663190.5,,False,True,
1503,44114,,,,,2027,693828.125,687732.125,569362.1517857143,608818.6875,370215.0,687732.125,,False,True,
418,44184,62.0,2160818.0,8746.0,ificom-2021.xlsx,2021,542252.0,,,,,,80.22024239837063,False,False,
419,44184,71.0,2284011.0,9248.0,ificom-2022.xlsx,2022,656608.0,542252.0,542252.0,542252.0,542252.0,542252.0,80.22024239837063,False,False,
420,44184,,,,,2023,704694.0,656608.0,599430.0,599430.0,542252.0,656608.0,,False,True,
421,44184,,,,,2024,750704.625,704694.0,634518.0,656608.0,542252.0,704694.0,,False,True,
422,44184,,,,,2025,778057.875,750704.625,663564.65625,680651.0,542252.0,750704.625,,False,True,
423,44184,,,,,2026,829967.4375,778057.875,686463.3,704694.0,542252.0,778057.875,,False,True,
1504,44184,,,,,2027,891940.9375,829967.4375,710380.65625,727699.3125,542252.0,829967.4375,,False,True,
424,44215,62.0,2017899.0,7912.0,ificom-2020.xlsx,2020,490544.0,,,,,,63.55911921671041,False,False,
425,44215,71.0,2052008.0,7203.0,ificom-2021.xlsx,2021,511413.0,490544.0,490544.0,490544.0,490544.0,490544.0,63.55911921671041,False,False,
426,44215,78.0,2050243.0,7328.0,ificom-2022.xlsx,2022,571584.0,511413.0,500978.5,500978.5,490544.0,511413.0,63.55911921671041,False,False,
427,44215,,,,,2023,641057.3125,571584.0,524513.6666666666,511413.0,490544.0,571584.0,,False,True,
428,44215,,,,,2024,660240.1875,641057.3125,553649.578125,541498.5,490544.0,641057.3125,,False,True,
429,44215,,,,,2025,690480.8125,660240.1875,574967.7,571584.0,490544.0,660240.1875,,False,True,
430,44215,,,,,2026,707006.5625,690480.8125,594219.8854166666,606320.65625,490544.0,690480.8125,,False,True,
1505,44215,,,,,2027,725745.0625,707006.5625,610332.2678571428,641057.3125,490544.0,707006.5625,,False,True,
431,45232,51.0,2350296.0,10761.0,ificom-2021.xlsx,2021,548811.0,,,,,,86.74575819794316,False,False,
432,45232,55.0,2489825.0,11836.0,ificom-2022.xlsx,2022,650980.0,548811.0,548811.0,548811.0,548811.0,548811.0,86.74575819794316,False,False,
433,45232,,,,,2023,704694.0,650980.0,599895.5,599895.5,548811.0,650980.0,,False,True,
434,45232,,,,,2024,750704.625,704694.0,634828.3333333334,650980.0,548811.0,704694.0,,False,True,
435,45232,,,,,2025,778057.875,750704.625,663797.40625,677837.0,548811.0,750704.625,,False,True,
436,45232,,,,,2026,829967.4375,778057.875,686649.5,704694.0,548811.0,778057.875,,False,True,
1506,45232,,,,,2027,891940.9375,829967.4375,710535.8229166666,727699.3125,548811.0,829967.4375,,False,True,
437,45234,141.0,2347640.0,9885.0,ificom-2020.xlsx,2020,1393785.0,,,,,,84.552961288685,False,False,
438,45234,154.0,2278514.0,9334.0,ificom-2021.xlsx,2021,1437436.0,1393785.0,1393785.0,1393785.0,1393785.0,1393785.0,84.552961288685,False,False,
439,45234,176.0,2291263.0,9533.0,ificom-2022.xlsx,2022,1677808.0,1437436.0,1415610.5,1415610.5,1393785.0,1437436.0,84.552961288685,False,False,
440,45234,,,,,2023,1730851.25,1677808.0,1503009.6666666667,1437436.0,1393785.0,1677808.0,,False,True,
441,45234,,,,,2024,1753936.25,1730851.25,1559970.0625,1557622.0,1393785.0,1730851.25,,False,True,
442,45234,,,,,2025,1734396.5,1753936.25,1598763.3,1677808.0,1393785.0,1753936.25,,False,True,
443,45234,,,,,2026,1734396.5,1734396.5,1621368.8333333333,1704329.625,1393785.0,1753936.25,,False,True,
1507,45234,,,,,2027,1742734.75,1734396.5,1637515.642857143,1730851.25,1393785.0,1753936.25,,False,True,
444,49007,158.0,1947457.0,6851.0,ificom-2020.xlsx,2020,1082458.0,,,,,,90.51950793673116,False,False,
445,49007,177.0,2000162.0,7227.0,ificom-2021.xlsx,2021,1279179.0,1082458.0,1082458.0,1082458.0,1082458.0,1082458.0,90.51950793673116,False,False,
446,49007,220.0,2159961.0,8320.0,ificom-2022.xlsx,2022,1830400.0,1279179.0,1180818.5,1180818.5,1082458.0,1279179.0,90.51950793673116,False,False,
447,49007,,,,,2023,1625229.375,1830400.0,1397345.6666666667,1279179.0,1082458.0,1830400.0,,False,True,
448,49007,,,,,2024,1582064.5,1625229.375,1454316.59375,1452204.1875,1082458.0,1830400.0,,False,True,
449,49007,,,,,2025,1619400.125,1582064.5,1479866.175,1582064.5,1082458.0,1830400.0,,False,True,
450,49007,,,,,2026,1611565.875,1619400.125,1503121.8333333333,1600732.3125,1082458.0,1830400.0,,False,True,
1508,49007,,,,,2027,1617156.5,1611565.875,1518613.8392857143,1611565.875,1082458.0,1830400.0,,False,True,
451,51454,254.0,2083609.0,7917.0,ificom-2020.xlsx,2020,2010918.0,,,,,,112.3395621965605,False,False,
452,51454,258.0,2157480.0,8544.0,ificom-2021.xlsx,2021,2204352.0,2010918.0,2010918.0,2010918.0,2010918.0,2010918.0,112.3395621965605,False,False,
453,51454,292.0,2203260.0,8888.0,ificom-2022.xlsx,2022,2595296.0,2204352.0,2107635.0,2107635.0,2010918.0,2204352.0,112.3395621965605,False,False,
454,51454,,,,,2023,2643291.5,2595296.0,2270188.6666666665,2204352.0,2010918.0,2595296.0,,False,True,
455,51454,,,,,2024,2663978.5,2643291.5,2363464.375,2399824.0,2010918.0,2643291.5,,False,True,
456,51454,,,,,2025,2681595.5,2663978.5,2423567.2,2595296.0,2010918.0,2663978.5,,False,True,
457,51454,,,,,2026,2681595.5,2681595.5,2466571.9166666665,2619293.75,2010918.0,2681595.5,,False,True,
1509,51454,,,,,2027,2681595.5,2681595.5,2497289.5714285714,2643291.5,2010918.0,2681595.5,,False,True,
458,53130,67.0,2446329.0,10555.0,ificom-2020.xlsx,2020,707185.0,,,,,,100.86086744486464,False,False,
459,53130,71.0,2347022.0,9974.0,ificom-2021.xlsx,2021,708154.0,707185.0,707185.0,707185.0,707185.0,707185.0,100.86086744486464,False,False,
460,53130,80.0,2396354.0,10426.0,ificom-2022.xlsx,2022,834080.0,708154.0,707669.5,707669.5,707185.0,708154.0,100.86086744486464,False,False,
461,53130,,,,,2023,943962.3125,834080.0,749806.3333333334,708154.0,707185.0,834080.0,,False,True,
462,53130,,,,,2024,1007418.3125,943962.3125,798345.328125,771117.0,707185.0,943962.3125,,False,True,
463,53130,,,,,2025,1022092.3125,1007418.3125,840159.925,834080.0,707185.0,1007418.3125,,False,True,
464,53130,,,,,2026,1031158.1875,1022092.3125,870481.9895833334,889021.15625,707185.0,1022092.3125,,False,True,
1510,53130,,,,,2027,1047610.5625,1031158.1875,893435.7321428572,943962.3125,707185.0,1031158.1875,,False,True,
465,54395,187.0,2374111.0,11623.0,ificom-2020.xlsx,2020,2173501.0,,,,,,135.84119866776274,False,False,
466,54395,196.0,2394349.0,9595.0,ificom-2021.xlsx,2021,1880620.0,2173501.0,2173501.0,2173501.0,2173501.0,2173501.0,135.84119866776274,False,False,
467,54395,210.0,2406796.0,9761.0,ificom-2022.xlsx,2022,2049810.0,1880620.0,2027060.5,2027060.5,1880620.0,2173501.0,135.84119866776274,False,False,
468,54395,,,,,2023,2231758.5,2049810.0,2034643.6666666667,2049810.0,1880620.0,2173501.0,,False,True,
469,54395,,,,,2024,2366410.0,2231758.5,2083922.375,2111655.5,1880620.0,2231758.5,,False,True,
470,54395,,,,,2025,2300834.5,2366410.0,2140419.9,2173501.0,1880620.0,2366410.0,,False,True,
471,54395,,,,,2026,2257599.25,2300834.5,2167155.6666666665,2202629.75,1880620.0,2366410.0,,False,True,
1511,54395,,,,,2027,2287360.25,2257599.25,2180076.1785714286,2231758.5,1880620.0,2366410.0,,False,True,
472,56260,145.0,2038408.0,7929.0,ificom-2020.xlsx,2020,1149705.0,,,,,,105.8043185652264,False,False,
473,56260,188.0,2021611.0,7677.0,ificom-2021.xlsx,2021,1443276.0,1149705.0,1149705.0,1149705.0,1149705.0,1149705.0,105.8043185652264,False,False,
474,56260,231.0,1986573.0,7523.0,ificom-2022.xlsx,2022,1737813.0,1443276.0,1296490.5,1296490.5,1149705.0,1443276.0,105.8043185652264,False,False,
475,56260,,,,,2023,1618645.0,1737813.0,1443598.0,1443276.0,1149705.0,1737813.0,,False,True,
476,56260,,,,,2024,1612910.75,1618645.0,1487359.75,1530960.5,1149705.0,1737813.0,,False,True,
477,56260,,,,,2025,1621733.125,1612910.75,1512469.95,1612910.75,1149705.0,1737813.0,,False,True,
478,56260,,,,,2026,1616597.375,1621733.125,1530680.4791666667,1615777.875,1149705.0,1737813.0,,False,True,
1512,56260,,,,,2027,1616597.375,1616597.375,1542954.3214285714,1616597.375,1149705.0,1737813.0,,False,True,
479,57463,129.0,2175512.0,8769.0,ificom-2020.xlsx,2020,1131201.0,,,,,,152.07458483852983,False,False,
480,57463,131.0,2288340.0,9985.0,ificom-2021.xlsx,2021,1308035.0,1131201.0,1131201.0,1131201.0,1131201.0,1131201.0,152.07458483852983,False,False,
481,57463,134.0,2280630.0,9379.0,ificom-2022.xlsx,2022,1256786.0,1308035.0,1219618.0,1219618.0,1131201.0,1308035.0,152.07458483852983,False,False,
482,57463,,,,,2023,1359353.25,1256786.0,1232007.3333333333,1256786.0,1131201.0,1308035.0,,False,True,
483,57463,,,,,2024,1402936.25,1359353.25,1263843.8125,1282410.5,1131201.0,1359353.25,,False,True,
484,57463,,,,,2025,1446878.125,1402936.25,1291662.3,1308035.0,1131201.0,1402936.25,,False,True,
485,57463,,,,,2026,1457452.25,1446878.125,1317531.6041666667,1333694.125,1131201.0,1446878.125,,False,True,
1513,57463,,,,,2027,1489373.875,1457452.25,1337520.267857143,1359353.25,1131201.0,1457452.25,,False,True,
486,57672,60.0,2020480.0,7745.0,ificom-2020.xlsx,2020,464700.0,,,,,,168.1852705176628,False,False,
487,57672,62.0,2034484.0,7826.0,ificom-2021.xlsx,2021,485212.0,464700.0,464700.0,464700.0,464700.0,464700.0,168.1852705176628,False,False,
488,57672,67.0,2295044.0,10839.0,ificom-2022.xlsx,2022,726213.0,485212.0,474956.0,474956.0,464700.0,485212.0,168.1852705176628,False,False,
489,57672,,,,,2023,699374.75,726213.0,558708.3333333334,485212.0,464700.0,726213.0,,False,True,
490,57672,,,,,2024,725745.0625,699374.75,593874.9375,592293.375,464700.0,726213.0,,False,True,
491,57672,,,,,2025,759048.0625,725745.0625,620248.9625,699374.75,464700.0,726213.0,,False,True,
492,57672,,,,,2026,759048.0625,759048.0625,643382.1458333334,712559.90625,464700.0,759048.0625,,False,True,
1514,57672,,,,,2027,781812.6875,759048.0625,659905.8482142857,725745.0625,464700.0,759048.0625,,False,True,
493,59009,109.0,2352335.0,7018.0,ificom-2020.xlsx,2020,764962.0,,,,,,39.901357890058854,False,False,
494,59009,119.0,1943706.0,5461.0,ificom-2021.xlsx,2021,649859.0,764962.0,764962.0,764962.0,764962.0,764962.0,39.901357890058854,False,False,
495,59009,136.0,1969385.0,6135.0,ificom-2022.xlsx,2022,834360.0,649859.0,707410.5,707410.5,649859.0,764962.0,39.901357890058854,False,False,
496,59009,,,,,2023,926937.125,834360.0,749727.0,764962.0,649859.0,834360.0,,False,True,
497,59009,,,,,2024,981790.4375,926937.125,794029.53125,799661.0,649859.0,926937.125,,False,True,
498,59009,,,,,2025,1002225.4375,981790.4375,831581.7125,834360.0,649859.0,981790.4375,,False,True,
499,59009,,,,,2026,1014132.9375,1002225.4375,860022.3333333334,880648.5625,649859.0,1002225.4375,,False,True,
1515,59009,,,,,2027,1021643.8125,1014132.9375,882038.1339285715,926937.125,649859.0,1014132.9375,,False,True,
500,59163,90.0,2167695.0,7503.0,ificom-2020.xlsx,2020,675270.0,,,,,,40.45564861538293,False,False,
501,59163,95.0,2345519.0,8725.0,ificom-2021.xlsx,2021,828875.0,675270.0,675270.0,675270.0,675270.0,675270.0,40.45564861538293,False,False,
502,59163,111.0,2295986.0,7722.0,ificom-2022.xlsx,2022,857142.0,828875.0,752072.5,752072.5,675270.0,828875.0,40.45564861538293,False,False,
503,59163,,,,,2023,963444.625,857142.0,787095.6666666666,828875.0,675270.0,857142.0,,False,True,
504,59163,,,,,2024,1016156.875,963444.625,831182.90625,843008.5,675270.0,963444.625,,False,True,
505,59163,,,,,2025,1028064.375,1016156.875,868177.7,857142.0,675270.0,1016156.875,,False,True,
506,59163,,,,,2026,1043811.25,1028064.375,894825.4791666666,910293.3125,675270.0,1028064.375,,False,True,
1516,59163,,,,,2027,1100035.875,1043811.25,916109.1607142857,963444.625,675270.0,1043811.25,,False,True,
507,59183,59.0,2063524.9999999998,8042.0,ificom-2020.xlsx,2020,474478.0,,,,,,86.55322859548997,False,False,
508,59183,65.0,2033788.0,7795.0,ificom-2021.xlsx,2021,506675.0,474478.0,474478.0,474478.0,474478.0,474478.0,86.55322859548997,False,False,
509,59183,59.0,2164627.0,8918.0,ificom-2022.xlsx,2022,526162.0,506675.0,490576.5,490576.5,474478.0,506675.0,86.55322859548997,False,False,
510,59183,,,,,2023,587767.5,526162.0,502438.3333333333,506675.0,474478.0,526162.0,,False,True,
511,59183,,,,,2024,641057.3125,587767.5,523770.625,516418.5,474478.0,587767.5,,False,True,
512,59183,,,,,2025,645581.125,641057.3125,547227.9625,526162.0,474478.0,641057.3125,,False,True,
513,59183,,,,,2026,660240.1875,645581.125,563620.15625,556964.75,474478.0,645581.125,,False,True,
1517,59183,,,,,2027,690480.8125,660240.1875,577423.0178571428,587767.5,474478.0,660240.1875,,False,True,
514,59328,70.0,2458088.0,9225.0,ificom-2020.xlsx,2020,645750.0,,,,,,38.51313404028208,False,False,
515,59328,89.0,2424694.0,9942.0,ificom-2021.xlsx,2021,884838.0,645750.0,645750.0,645750.0,645750.0,645750.0,38.51313404028208,False,False,
516,59328,92.0,2360265.0,9299.0,ificom-2022.xlsx,2022,855508.0,884838.0,765294.0,765294.0,645750.0,884838.0,38.51313404028208,False,False,
517,59328,,,,,2023,961978.4375,855508.0,795365.3333333334,855508.0,645750.0,884838.0,,False,True,
518,59328,,,,,2024,1014132.9375,961978.4375,837018.609375,870173.0,645750.0,961978.4375,,False,True,
519,59328,,,,,2025,1014132.9375,1014132.9375,872441.475,884838.0,645750.0,1014132.9375,,False,True,
520,59328,,,,,2026,1020938.3125,1014132.9375,896056.71875,923408.21875,645750.0,1014132.9375,,False,True,
1518,59328,,,,,2027,1020706.875,1020938.3125,913896.9464285715,961978.4375,645750.0,1020938.3125,,False,True,
521,59350,304.0,2389999.0,10621.0,ificom-2020.xlsx,2020,3228784.0,,,,,,38.06637869691514,False,False,
522,59350,325.0,2256665.0,8556.0,ificom-2021.xlsx,2021,2780700.0,3228784.0,3228784.0,3228784.0,3228784.0,3228784.0,38.06637869691514,False,False,
523,59350,366.0,2406814.0,9731.0,ificom-2022.xlsx,2022,3561546.0,2780700.0,3004742.0,3004742.0,2780700.0,3228784.0,38.06637869691514,False,False,
524,59350,,,,,2023,3546705.0,3561546.0,3190343.3333333335,3228784.0,2780700.0,3561546.0,,False,True,
525,59350,,,,,2024,3535479.5,3546705.0,3279433.75,3387744.5,2780700.0,3561546.0,,False,True,
526,59350,,,,,2025,3594335.75,3535479.5,3330642.9,3535479.5,2780700.0,3561546.0,,False,True,
527,59350,,,,,2026,3680959.25,3594335.75,3374591.7083333335,3541092.25,2780700.0,3594335.75,,False,True,
1519,59350,,,,,2027,3737242.0,3680959.25,3418358.5,3546705.0,2780700.0,3680959.25,,False,True,
528,59368,54.0,2359042.0,9111.0,ificom-2020.xlsx,2020,491994.0,,,,,,37.99906892933332,False,False,
529,59368,58.0,2391066.0,11929.0,ificom-2021.xlsx,2021,691882.0,491994.0,491994.0,491994.0,491994.0,491994.0,37.99906892933332,False,False,
530,59368,64.0,2486072.0,9666.0,ificom-2022.xlsx,2022,618624.0,691882.0,591938.0,591938.0,491994.0,691882.0,37.99906892933332,False,False,
531,59368,,,,,2023,685577.0,618624.0,600833.3333333334,618624.0,491994.0,691882.0,,False,True,
532,59368,,,,,2024,731613.5625,685577.0,622019.25,652100.5,491994.0,691882.0,,False,True,
533,59368,,,,,2025,751598.125,731613.5625,643938.1125,685577.0,491994.0,731613.5625,,False,True,
534,59368,,,,,2026,774362.8125,751598.125,661881.4479166666,688729.5,491994.0,751598.125,,False,True,
1520,59368,,,,,2027,824403.4375,774362.8125,677950.2142857143,691882.0,491994.0,774362.8125,,False,True,
535,59378,228.0,2388338.0,8570.0,ificom-2020.xlsx,2020,1953960.0,,,,,,38.91912035456483,False,False,
536,59378,248.0,2361357.0,8036.0,ificom-2021.xlsx,2021,1992928.0,1953960.0,1953960.0,1953960.0,1953960.0,1953960.0,38.91912035456483,False,False,
537,59378,288.0,2319071.0,8630.0,ificom-2022.xlsx,2022,2485440.0,1992928.0,1973444.0,1973444.0,1953960.0,1992928.0,38.91912035456483,False,False,
538,59378,,,,,2023,2508894.5,2485440.0,2144109.3333333335,1992928.0,1953960.0,2485440.0,,False,True,
539,59378,,,,,2024,2495599.0,2508894.5,2235305.625,2239184.0,1953960.0,2508894.5,,False,True,
540,59378,,,,,2025,2603752.75,2495599.0,2287364.3,2485440.0,1953960.0,2508894.5,,False,True,
541,59378,,,,,2026,2658127.25,2603752.75,2340095.7083333335,2490519.5,1953960.0,2603752.75,,False,True,
1521,59378,,,,,2027,2671565.25,2658127.25,2385528.785714286,2495599.0,1953960.0,2658127.25,,False,True,
542,59646,71.0,2124288.0,7591.0,ificom-2020.xlsx,2020,538961.0,,,,,,39.48012650542938,False,False,
543,59646,75.0,2120453.0,7619.0,ificom-2021.xlsx,2021,571425.0,538961.0,538961.0,538961.0,538961.0,538961.0,39.48012650542938,False,False,
544,59646,87.0,2145642.0,8167.0,ificom-2022.xlsx,2022,710529.0,571425.0,555193.0,555193.0,538961.0,571425.0,39.48012650542938,False,False,
545,59646,,,,,2023,730333.6875,710529.0,606971.6666666666,571425.0,538961.0,710529.0,,False,True,
546,59646,,,,,2024,745098.5625,730333.6875,637812.171875,640977.0,538961.0,730333.6875,,False,True,
547,59646,,,,,2025,781812.6875,745098.5625,659269.45,710529.0,538961.0,745098.5625,,False,True,
548,59646,,,,,2026,836787.625,781812.6875,679693.3229166666,720431.34375,538961.0,781812.6875,,False,True,
1522,59646,,,,,2027,900422.75,836787.625,702135.3660714285,730333.6875,538961.0,836787.625,,False,True,
549,60057,61.0,3055466.0,13556.0,ificom-2020.xlsx,2020,826916.0,,,,,,56.23776868899248,False,False,
550,60057,61.0,3129108.0,13607.0,ificom-2021.xlsx,2021,830027.0,826916.0,826916.0,826916.0,826916.0,826916.0,56.23776868899248,False,False,
551,60057,63.0,3063474.0,14153.0,ificom-2022.xlsx,2022,891639.0,830027.0,828471.5,828471.5,826916.0,830027.0,56.23776868899248,False,False,
552,60057,,,,,2023,984720.6875,891639.0,849527.3333333334,830027.0,826916.0,891639.0,,False,True,
553,60057,,,,,2024,1043099.625,984720.6875,883325.671875,860833.0,826916.0,984720.6875,,False,True,
554,60057,,,,,2025,1107560.375,1043099.625,915280.4625,891639.0,826916.0,1043099.625,,False,True,
555,60057,,,,,2026,1164471.375,1107560.375,947327.1145833334,938179.84375,826916.0,1107560.375,,False,True,
1523,60057,,,,,2027,1258738.125,1164471.375,978347.7232142857,984720.6875,826916.0,1164471.375,,False,True,
556,60159,100.0,2791353.0,15025.0,ificom-2020.xlsx,2020,1502500.0,,,,,,61.125443136579314,False,False,
