,Commune_Code_INSEE,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,total_tax_per_city,total_tax_per_city_lag1,mean,median,min,max,mean_distance_to_10_nearest,to_be_predicted,predicted,Prophet
1082,92009,,,,,2026,1415097.0,1402405.25,1201647.6875,1236859.375,923419.0,1402405.25,,False,True,
1599,92009,,,,,2027,1411577.25,1415097.0,1232140.4464285714,1288841.75,923419.0,1415097.0,,False,True,
1083,92012,1846.0,2261528.0,9127.0,ificom-2020.xlsx,2020,16848442.0,,,,,,3.5468655450143003,False,False,
1084,92012,1995.0,2298803.0,9235.0,ificom-2021.xlsx,2021,18423825.0,16848442.0,16848442.0,16848442.0,16848442.0,16848442.0,3.5468655450143003,False,False,
1085,92012,2118.0,2313297.0,9422.0,ificom-2022.xlsx,2022,19955796.0,18423825.0,17636133.5,17636133.5,16848442.0,18423825.0,3.5468655450143003,False,False,
1086,92012,,,,,2023,20339197.665094055,19955796.0,18409354.333333332,18423825.0,16848442.0,19955796.0,,False,True,True
1087,92012,,,,,2024,21337583.103451032,20339197.665094055,15145368.0,17636133.5,5353409.0,19955796.0,,False,True,True
1088,92012,,,,,2025,23980519.007280573,21337583.103451032,13186976.2,16848442.0,5353409.0,19955796.0,,False,True,True
1089,92012,,,,,2026,25143017.95596768,23980519.007280573,11881381.666666666,11100925.5,5353409.0,19955796.0,,False,True,True
1600,92012,,,,,2027,26221692.830586508,25143017.95596768,10948814.142857144,5353409.0,5353409.0,19955796.0,,False,True,True
1090,92014,162.0,2314252.0,9868.0,ificom-2020.xlsx,2020,1598616.0,,,,,,2.9836811098753895,False,False,
1091,92014,181.0,2295596.0,9400.0,ificom-2021.xlsx,2021,1701400.0,1598616.0,1598616.0,1598616.0,1598616.0,1598616.0,2.9836811098753895,False,False,
1092,92014,186.0,2317703.0,9888.0,ificom-2022.xlsx,2022,1839168.0,1701400.0,1650008.0,1650008.0,1598616.0,1701400.0,2.9836811098753895,False,False,
1093,92014,,,,,2023,1883439.125,1839168.0,1713061.3333333333,1701400.0,1598616.0,1839168.0,,False,True,
1094,92014,,,,,2024,1930815.5,1883439.125,1755655.78125,1770284.0,1598616.0,1883439.125,,False,True,
1095,92014,,,,,2025,2026955.625,1930815.5,1790687.725,1839168.0,1598616.0,1930815.5,,False,True,
1096,92014,,,,,2026,2087028.75,2026955.625,1830065.7083333333,1861303.5625,1598616.0,2026955.625,,False,True,
1601,92014,,,,,2027,2086846.0,2087028.75,1866774.7142857143,1883439.125,1598616.0,2087028.75,,False,True,
1097,92019,110.0,2081024.0000000002,8022.0,ificom-2020.xlsx,2020,882420.0,,,,,,3.790877815510035,False,False,
1098,92019,114.0,2125800.0,8491.0,ificom-2021.xlsx,2021,967974.0,882420.0,882420.0,882420.0,882420.0,882420.0,3.790877815510035,False,False,
1099,92019,126.0,2124573.0,8238.0,ificom-2022.xlsx,2022,1037988.0,967974.0,925197.0,925197.0,882420.0,967974.0,3.790877815510035,False,False,
1100,92019,,,,,2023,1119900.75,1037988.0,962794.0,967974.0,882420.0,1037988.0,,False,True,
1101,92019,,,,,2024,1186486.375,1119900.75,1002070.6875,1002981.0,882420.0,1119900.75,,False,True,
1102,92019,,,,,2025,1271000.0,1186486.375,1038953.825,1037988.0,882420.0,1186486.375,,False,True,
1103,92019,,,,,2026,1312584.375,1271000.0,1077628.1875,1078944.375,882420.0,1271000.0,,False,True,
1602,92019,,,,,2027,1327479.625,1312584.375,1111193.357142857,1119900.75,882420.0,1312584.375,,False,True,
1104,92020,92.0,2161120.0,9204.0,ificom-2020.xlsx,2020,846768.0,,,,,,2.6065969722153968,False,False,
1105,92020,99.0,2212116.0,9699.0,ificom-2021.xlsx,2021,960201.0,846768.0,846768.0,846768.0,846768.0,846768.0,2.6065969722153968,False,False,
1106,92020,112.0,2246086.0,9911.0,ificom-2022.xlsx,2022,1110032.0,960201.0,903484.5,903484.5,846768.0,960201.0,2.6065969722153968,False,False,
1107,92020,,,,,2023,1189693.25,1110032.0,972333.6666666666,960201.0,846768.0,1110032.0,,False,True,
1108,92020,,,,,2024,1261211.25,1189693.25,1026673.5625,1035116.5,846768.0,1189693.25,,False,True,
1109,92020,,,,,2025,1315791.25,1261211.25,1073581.1,1110032.0,846768.0,1261211.25,,False,True,
1110,92020,,,,,2026,1364669.875,1315791.25,1113949.4583333333,1149862.625,846768.0,1315791.25,,False,True,
1603,92020,,,,,2027,1387770.375,1364669.875,1149766.6607142857,1189693.25,846768.0,1364669.875,,False,True,
1111,92022,112.0,1937919.0,6799.0,ificom-2020.xlsx,2020,761488.0,,,,,,4.614623356784083,False,False,
1112,92022,118.0,1956542.0,6861.0,ificom-2021.xlsx,2021,809598.0,761488.0,761488.0,761488.0,761488.0,761488.0,4.614623356784083,False,False,
1113,92022,143.0,1965197.0,6836.0,ificom-2022.xlsx,2022,977548.0,809598.0,785543.0,785543.0,761488.0,809598.0,4.614623356784083,False,False,
1114,92022,,,,,2023,1029811.0625,977548.0,849544.6666666666,809598.0,761488.0,977548.0,,False,True,
1115,92022,,,,,2024,1053818.875,1029811.0625,894611.265625,893573.0,761488.0,1029811.0625,,False,True,
1116,92022,,,,,2025,1117785.875,1053818.875,926452.7875,977548.0,761488.0,1053818.875,,False,True,
1117,92022,,,,,2026,1167186.0,1117785.875,958341.6354166666,1003679.53125,761488.0,1117785.875,,False,True,
1604,92022,,,,,2027,1261452.75,1167186.0,988176.5446428572,1029811.0625,761488.0,1167186.0,,False,True,
1118,92023,261.0,2049135.0000000002,7312.0,ificom-2020.xlsx,2020,1908432.0,,,,,,3.0831706777496826,False,False,
1119,92023,294.0,2069916.0,7547.0,ificom-2021.xlsx,2021,2218818.0,1908432.0,1908432.0,1908432.0,1908432.0,1908432.0,3.0831706777496826,False,False,
