,Region,Department,Commune_Code_INSEE,City,latitude,longitude
186,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,47.2553872249,6.01948696494
187,BOURGOGNE-FRANCHE-COMTE,DOUBS,25056,BESANCON,47.2553872249,6.01948696494
188,,,25056,,,
189,,,25056,,,
190,,,25056,,,
191,,,25056,,,
1470,,,25056,,,
192,AUVERGNE-RHONE-ALPES,DROME,26198,MONTELIMAR,44.5540845734,4.74869387765
193,AUVERGNE-RHONE-ALPES,DROME,26198,MONTELIMAR,44.5540845734,4.74869387765
194,,,26198,,,
195,,,26198,,,
196,,,26198,,,
197,,,26198,,,
1471,,,26198,,,
198,AUVERGNE-RHONE-ALPES,DROME,26362,VALENCE,44.9229811667,4.91444013136
199,AUVERGNE-RHONE-ALPES,DROME,26362,VALENCE,44.9229811667,4.91444013136
200,AUVERGNE-RHONE-ALPES,DROME,26362,VALENCE,44.9229811667,4.91444013136
201,,,26362,,,
202,,,26362,,,
203,,,26362,,,
204,,,26362,,,
1472,,,26362,,,
205,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,48.4471464884,1.50570610616
206,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,48.4471464884,1.50570610616
207,CENTRE-VAL DE LOIRE,EURE-ET-LOIR,28085,CHARTRES,48.4471464884,1.50570610616
208,,,28085,,,
209,,,28085,,,
210,,,28085,,,
211,,,28085,,,
1473,,,28085,,,
212,BRETAGNE,FINISTERE,29019,BREST,48.4004997828,-4.5027907853
213,BRETAGNE,FINISTERE,29019,BREST,48.4004997828,-4.5027907853
214,BRETAGNE,FINISTERE,29019,BREST,48.4004997828,-4.5027907853
215,,,29019,,,
216,,,29019,,,
217,,,29019,,,
218,,,29019,,,
1474,,,29019,,,
219,BRETAGNE,FINISTERE,29232,QUIMPER,47.9971425162,-4.09111944455
220,,,29232,,,
221,,,29232,,,
222,,,29232,,,
223,,,29232,,,
1475,,,29232,,,
224,CORSE,CORSE-DU-SUD,2A004,AJACCIO,41.9347926638,8.70132275974
225,CORSE,CORSE-DU-SUD,2A004,AJACCIO,41.9347926638,8.70132275974
226,CORSE,CORSE-DU-SUD,2A004,AJACCIO,41.9347926638,8.70132275974
227,CORSE,CORSE-DU-SUD,2A004,AJACCIO,41.9347926638,8.70132275974
228,,,2A004,,,
229,,,2A004,,,
230,,,2A004,,,
231,,,2A004,,,
1476,,,2A004,,,
232,CORSE,HAUTE-CORSE,2B033,BASTIA,42.6864768806,9.42502133338
233,CORSE,HAUTE-CORSE,2B033,BASTIA,42.6864768806,9.42502133338
234,CORSE,HAUTE-CORSE,2B033,BASTIA,42.6864768806,9.42502133338
235,CORSE,HAUTE-CORSE,2B033,BASTIA,42.6864768806,9.42502133338
236,,,2B033,,,
237,,,2B033,,,
238,,,2B033,,,
239,,,2B033,,,
1477,,,2B033,,,
240,OCCITANIE,GARD,30189,NIMES,43.844938394,4.34806796996
241,OCCITANIE,GARD,30189,NIMES,43.844938394,4.34806796996
242,OCCITANIE,GARD,30189,NIMES,43.844938394,4.34806796996
243,,,30189,,,
244,,,30189,,,
245,,,30189,,,
246,,,30189,,,
1478,,,30189,,,
247,OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,43.5963814303,1.43167293364
248,OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,43.5963814303,1.43167293364
249,OCCITANIE,HAUTE-GARONNE,31555,TOULOUSE,43.5963814303,1.43167293364
250,,,31555,,,
251,,,31555,,,
252,,,31555,,,
253,,,31555,,,
1479,,,31555,,,
254,OCCITANIE,HAUTE-GARONNE,31557,TOURNEFEUILLE,43.5781918597,1.33500697752
255,OCCITANIE,HAUTE-GARONNE,31557,TOURNEFEUILLE,43.5781918597,1.33500697752
256,OCCITANIE,HAUTE-GARONNE,31557,TOURNEFEUILLE,43.5781918597,1.33500697752
257,,,31557,,,
258,,,31557,,,
259,,,31557,,,
260,,,31557,,,
1480,,,31557,,,
261,NOUVELLE-AQUITAINE,GIRONDE,33063,BORDEAUX,44.8572445351,-0.57369678116
262,NOUVELLE-AQUITAINE,GIRONDE,33063,BORDEAUX,44.8572445351,-0.57369678116
263,NOUVELLE-AQUITAINE,GIRONDE,33063,BORDEAUX,44.8572445351,-0.57369678116
264,,,33063,,,
265,,,33063,,,
266,,,33063,,,
267,,,33063,,,
1481,,,33063,,,
268,NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT,44.8661298323,-0.602121558626
269,NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT,44.8661298323,-0.602121558626
270,NOUVELLE-AQUITAINE,GIRONDE,33069,LE BOUSCAT,44.8661298323,-0.602121558626
271,,,33069,,,
272,,,33069,,,
273,,,33069,,,
274,,,33069,,,
1482,,,33069,,,
275,NOUVELLE-AQUITAINE,GIRONDE,33162,EYSINES,44.8797152377,-0.647899474657
276,NOUVELLE-AQUITAINE,GIRONDE,33162,EYSINES,44.8797152377,-0.647899474657
277,,,33162,,,
278,,,33162,,,
279,,,33162,,,
280,,,33162,,,
1483,,,33162,,,
281,NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN,44.7709411201,-0.616137682116
282,NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN,44.7709411201,-0.616137682116
283,NOUVELLE-AQUITAINE,GIRONDE,33192,GRADIGNAN,44.7709411201,-0.616137682116
284,,,33192,,,
285,,,33192,,,
286,,,33192,,,
287,,,33192,,,
1484,,,33192,,,
288,NOUVELLE-AQUITAINE,GIRONDE,33199,GUJAN-MESTRAS,44.5940361232,-1.08427455858
289,NOUVELLE-AQUITAINE,GIRONDE,33199,GUJAN-MESTRAS,44.5940361232,-1.08427455858
290,,,33199,,,
291,,,33199,,,
292,,,33199,,,
293,,,33199,,,
1485,,,33199,,,
