,Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
122,ILE-DE-FRANCE,PARIS,75110,PARIS 10e,714.0,2183052.0,8458.0,ificom-2022.xlsx,2022.0,48.8760285569,2.36111290456,6039012.0
123,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13002,ALLAUCH,51.0,2181350.0,10338.0,ificom-2022.xlsx,2022.0,43.3533145712,5.51134767187,527238.0
124,AUVERGNE-RHONE-ALPES,RHONE,69204,SAINT-GENIS-LAVAL,78.0,2178521.0,8276.0,ificom-2022.xlsx,2022.0,45.6936777293,4.78919028453,645528.0
125,ILE-DE-FRANCE,HAUTS-DE-SEINE,92024,CLICHY,62.0,2176911.0,9074.0,ificom-2022.xlsx,2022.0,48.9035359139,2.30575230452,562588.0
126,ILE-DE-FRANCE,VAL-DE-MARNE,94018,CHARENTON LE PONT,245.0,2176289.0,8415.0,ificom-2022.xlsx,2022.0,48.8228084978,2.40760915477,2061675.0
127,ILE-DE-FRANCE,VAL-DE-MARNE,94017,CHAMPIGNY SUR MARNE,76.0,2167405.0,8917.0,ificom-2022.xlsx,2022.0,48.817254364,2.51709815257,677692.0
128,ILE-DE-FRANCE,HAUTS-DE-SEINE,92050,NANTERRE,110.0,2167359.0,8826.0,ificom-2022.xlsx,2022.0,48.8960701282,2.20671346353,970860.0
129,NORMANDIE,SEINE-MARITIME,76351,LE HAVRE,118.0,2164953.0,8925.0,ificom-2022.xlsx,2022.0,49.498452502,0.140153719153,1053150.0
130,LES-HAUTS-DE-FRANCE,NORD,59183,DUNKERQUE,59.0,2164627.0,8918.0,ificom-2022.xlsx,2022.0,51.0307229078,2.33752414095,526162.0
131,PROVENCE-ALPES-COTE D'AZUR,VAR,83069,HYERES,252.0,2163800.0,8255.0,ificom-2022.xlsx,2022.0,43.1018713534,6.18898508469,2080260.0
132,ILE-DE-FRANCE,VAL-DE-MARNE,94080,VINCENNES,522.0,2163228.0,8143.0,ificom-2022.xlsx,2022.0,48.8473732045,2.43798650741,4250646.0
133,ILE-DE-FRANCE,VAL-DE-MARNE,94046,MAISONS-ALFORT,136.0,2163052.0,8631.0,ificom-2022.xlsx,2022.0,48.8063923267,2.43818248906,1173816.0
134,NOUVELLE-AQUITAINE,CHARENTE-MARITIME,17300,LA ROCHELLE,305.0,2161802.0,8229.0,ificom-2022.xlsx,2022.0,46.1620643972,-1.17465702836,2509845.0
135,PAYS DE LA LOIRE,MAINE-ET-LOIRE,49007,ANGERS,220.0,2159961.0,8320.0,ificom-2022.xlsx,2022.0,47.476837416,-0.556125995444,1830400.0
136,BOURGOGNE-FRANCHE-COMTE,COTE-D'OR,21231,DIJON,200.0,2159030.0,8599.0,ificom-2022.xlsx,2022.0,47.3229437965,5.03788805877,1719800.0
137,ILE-DE-FRANCE,VAL-DE-MARNE,94058,LE PERREUX SUR MARNE,203.0,2158288.0,8492.0,ificom-2022.xlsx,2022.0,48.8423952383,2.50406848573,1723876.0
138,NORMANDIE,SEINE-MARITIME,76540,ROUEN,197.0,2156208.0,8387.0,ificom-2022.xlsx,2022.0,49.4413460103,1.09256784278,1652239.0
139,PROVENCE-ALPES-COTE D'AZUR,BOUCHES-DU-RHONE,13028,LA CIOTAT,122.0,2155687.0,9050.0,ificom-2022.xlsx,2022.0,43.1926410861,5.61318955778,1104100.0
140,ILE-DE-FRANCE,HAUTS-DE-SEINE,92049,MONTROUGE,246.0,2152624.0,9205.0,ificom-2022.xlsx,2022.0,48.8153032159,2.31648921432,2264430.0
141,ILE-DE-FRANCE,VAL-DE-MARNE,94081,VITRY SUR SEINE,53.0,2147960.0,9237.0,ificom-2022.xlsx,2022.0,48.7882828307,2.39412680533,489561.0
142,ILE-DE-FRANCE,YVELINES,78158,LE CHESNAY-ROCQUENCOURT,379.0,2146550.0,7995.0,ificom-2022.xlsx,2022.0,48.8272397742,2.13014908209,3030105.0
143,PROVENCE-ALPES-COTE D'AZUR,VAR,83118,SAINT-RAPHAEL,362.0,2146528.0,8610.0,ificom-2022.xlsx,2022.0,43.4574625431,6.84734210398,3116820.0
144,LES-HAUTS-DE-FRANCE,NORD,59646,WASQUEHAL,87.0,2145642.0,8167.0,ificom-2022.xlsx,2022.0,50.6750984751,3.12858017096,710529.0
145,ILE-DE-FRANCE,VAL-DE-MARNE,94076,VILLEJUIF,54.0,2140874.0,8892.0,ificom-2022.xlsx,2022.0,48.7928547268,2.36006103249,480168.0
146,AUVERGNE-RHONE-ALPES,SAVOIE,73008,AIX-LES-BAINS,91.0,2137414.0,8716.0,ificom-2022.xlsx,2022.0,45.6978541675,5.90388626955,793156.0
147,ILE-DE-FRANCE,HAUTS-DE-SEINE,92072,SEVRES,333.0,2134555.0,8225.0,ificom-2022.xlsx,2022.0,48.821476509,2.21052297438,2738925.0
148,ILE-DE-FRANCE,YVELINES,78126,LA CELLE-SAINT-CLOUD,217.0,2133828.0,7671.0,ificom-2022.xlsx,2022.0,48.8469487124,2.13519126228,1664607.0
149,ILE-DE-FRANCE,ESSONNE,91272,GIF SUR YVETTE,118.0,2132069.0,7918.0,ificom-2022.xlsx,2022.0,48.6988273634,2.12788365005,934324.0
150,ILE-DE-FRANCE,YVELINES,78358,MAISONS-LAFFITTE,301.0,2131771.0,8021.0,ificom-2022.xlsx,2022.0,48.9523369002,2.15161594901,2414321.0
151,ILE-DE-FRANCE,SEINE-ET-MARNE,77284,MEAUX,61.0,2127553.0,7920.0,ificom-2022.xlsx,2022.0,48.9570625667,2.90003097245,483120.0
152,AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,74281,THONON-LES-BAINS,102.0,2127144.0,8641.0,ificom-2022.xlsx,2022.0,46.3704258049,6.48194336071,881382.0
153,ILE-DE-FRANCE,HAUTS-DE-SEINE,92025,COLOMBES,242.0,2126991.0,8046.0,ificom-2022.xlsx,2022.0,48.9225179147,2.24675160629,1947132.0
