Region,Department,Commune_Code_INSEE,City,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro,Source_File,Year,latitude,longitude,total_tax_per_city
ILE-DE-FRANCE,HAUTS-DE-SEINE,,MEUDON,360.0,2104584.0,7519.0,ificom-2019.xls,2019.0,,,2706840.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,VANVES,149.0,2052514.0,7509.0,ificom-2019.xls,2019.0,,,1118841.0
PROVENCE-ALPES-COTE D'AZUR,VAR,,LA SEYNE SUR MER,59.0,1924148.0,7498.0,ificom-2019.xls,2019.0,,,442382.0
AUVERGNE-RHONE-ALPES,HAUTE-SAVOIE,,ANNECY,476.0,1986205.0,7492.0,ificom-2019.xls,2019.0,,,3566192.0
ILE-DE-FRANCE,YVELINES,,LA CELLE-SAINT-CLOUD,189.0,2106718.0,7394.0,ificom-2019.xls,2019.0,,,1397466.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,SEVRES,252.0,2039924.0,7388.0,ificom-2019.xls,2019.0,,,1861776.0
ILE-DE-FRANCE,SEINE-SAINT-DENIS,,AULNAY SOUS BOIS,51.0,2038816.0,7385.0,ificom-2019.xls,2019.0,,,376635.0
ILE-DE-FRANCE,VAL-DE-MARNE,,CRETEIL,77.0,2003732.0,7380.0,ificom-2019.xls,2019.0,,,568260.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,COURBEVOIE,349.0,2027190.0,7359.0,ificom-2019.xls,2019.0,,,2568291.0
OCCITANIE,AUDE,,NARBONNE,52.0,1966821.0,7355.0,ificom-2019.xls,2019.0,,,382460.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,LE PLESSIS ROBINSON,61.0,2099971.0,7346.0,ificom-2019.xls,2019.0,,,448106.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,COLOMBES,182.0,2025123.0,7339.0,ificom-2019.xls,2019.0,,,1335698.0
AUVERGNE-RHONE-ALPES,RHONE,,BRON,64.0,2012265.0,7328.0,ificom-2019.xls,2019.0,,,468992.0
ILE-DE-FRANCE,ESSONNE,,GIF SUR YVETTE,98.0,2025798.0,7314.0,ificom-2019.xls,2019.0,,,716772.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,FONTENAY AUX ROSES,74.0,1989128.0,7290.0,ificom-2019.xls,2019.0,,,539460.0
OCCITANIE,HERAULT,,SETE,95.0,1988436.0,7271.0,ificom-2019.xls,2019.0,,,690745.0
PROVENCE-ALPES-COTE D'AZUR,VAUCLUSE,,AVIGNON,94.0,2068354.0,7206.0,ificom-2019.xls,2019.0,,,677364.0
BRETAGNE,MORBIHAN,,VANNES,145.0,1977304.0,7194.0,ificom-2019.xls,2019.0,,,1043130.0
ILE-DE-FRANCE,HAUTS-DE-SEINE,,ISSY LES MOULINEAUX,348.0,2027966.0,7189.0,ificom-2019.xls,2019.0,,,2501772.0
LES-HAUTS-DE-FRANCE,NORD,,CROIX,85.0,2168735.0,7149.0,ificom-2019.xls,2019.0,,,607665.0
ILE-DE-FRANCE,YVELINES,,MAISONS-LAFFITTE,231.0,2038385.0,7143.0,ificom-2019.xls,2019.0,,,1650033.0
AUVERGNE-RHONE-ALPES,RHONE,,VILLEURBANNE,73.0,1972216.0,7135.0,ificom-2019.xls,2019.0,,,520855.0
AUVERGNE-RHONE-ALPES,SAVOIE,,CHAMBERY,110.0,1994945.0,7131.0,ificom-2019.xls,2019.0,,,784410.0
